2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing QoiImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing SgiImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing SpiderImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing SunImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing TgaImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing TiffImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing WebPImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing WmfImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing XbmImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing XpmImagePlugin
2026-05-30 22:53:00 | DEBUG    | PIL.Image | Importing XVThumbImagePlugin
2026-05-30 22:53:49 | INFO     | HomeGuard.Tray | Tray exited
2026-05-31 03:24:03 | INFO     | HomeGuard.Alert | AlertEngine started (rate_limit=15m)
2026-05-31 03:24:03 | INFO     | HomeGuard.Tray | Tray proxy started
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing AvifImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing BlpImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing BmpImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing BufrStubImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing CurImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing DcxImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing DdsImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing EpsImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing FitsImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing FliImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing FpxImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Image: failed to import FpxImagePlugin: No module named 'olefile'
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing FtexImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing GbrImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing GifImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing GribStubImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing Hdf5StubImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing IcnsImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing IcoImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing ImImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing ImtImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing IptcImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing JpegImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing Jpeg2KImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing McIdasImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing MicImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Image: failed to import MicImagePlugin: No module named 'olefile'
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing MpegImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing MpoImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing MspImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PalmImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PcdImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PcxImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PdfImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PixarImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PngImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PpmImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing PsdImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing QoiImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing SgiImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing SpiderImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing SunImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing TgaImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing TiffImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing WebPImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing WmfImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing XbmImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing XpmImagePlugin
2026-05-31 03:24:03 | DEBUG    | PIL.Image | Importing XVThumbImagePlugin
2026-05-31 03:24:31 | INFO     | HomeGuard.Tray | Tray exited
2026-05-31 03:32:05 | INFO     | HomeGuard.Alert | AlertEngine started (rate_limit=15m)
2026-05-31 03:32:05 | INFO     | HomeGuard.Tray | Tray proxy started
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing AvifImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing BlpImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing BmpImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing BufrStubImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing CurImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing DcxImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing DdsImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing EpsImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing FitsImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing FliImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing FpxImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Image: failed to import FpxImagePlugin: No module named 'olefile'
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing FtexImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing GbrImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing GifImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing GribStubImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing Hdf5StubImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing IcnsImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing IcoImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing ImImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing ImtImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing IptcImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing JpegImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing Jpeg2KImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing McIdasImagePlugin
2026-05-31 03:32:05 | DEBUG    | PIL.Image | Importing MicImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Image: failed to import MicImagePlugin: No module named 'olefile'
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing MpegImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing MpoImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing MspImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PalmImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PcdImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PcxImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PdfImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PixarImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PngImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PpmImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing PsdImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing QoiImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing SgiImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing SpiderImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing SunImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing TgaImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing TiffImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing WebPImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing WmfImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing XbmImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing XpmImagePlugin
2026-05-31 03:32:06 | DEBUG    | PIL.Image | Importing XVThumbImagePlugin
2026-05-31 03:32:38 | INFO     | HomeGuard.Tray | Tray exited
2026-05-31 03:33:02 | INFO     | HomeGuard.Alert | AlertEngine started (rate_limit=15m)
2026-05-31 03:33:02 | INFO     | HomeGuard.Tray | Tray proxy started
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing AvifImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing BlpImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing BmpImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing BufrStubImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing CurImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing DcxImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing DdsImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing EpsImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing FitsImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing FliImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing FpxImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Image: failed to import FpxImagePlugin: No module named 'olefile'
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing FtexImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing GbrImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing GifImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing GribStubImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing Hdf5StubImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing IcnsImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing IcoImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing ImImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing ImtImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing IptcImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing JpegImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing Jpeg2KImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing McIdasImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing MicImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Image: failed to import MicImagePlugin: No module named 'olefile'
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing MpegImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing MpoImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing MspImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PalmImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PcdImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PcxImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PdfImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PixarImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PngImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PpmImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing PsdImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing QoiImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing SgiImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing SpiderImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing SunImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing TgaImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing TiffImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing WebPImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing WmfImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing XbmImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing XpmImagePlugin
2026-05-31 03:33:02 | DEBUG    | PIL.Image | Importing XVThumbImagePlugin
2026-05-31 03:33:36 | INFO     | HomeGuard.Tray | Tray exited
2026-05-31 03:33:36 | INFO     | HomeGuard.Tray | Tray exited
